unq_ID,site_type,total_N,total_C,total_S,Al,B,Ca,Cu,Fe,K,Mg,Mn,Mo,Na,P,S,Zn
13C_T2_7M_VAPA,Control,1.5,48,0.21,76,20,1.2,6.5,34,0.48,0.28,650,< DL,150,0.11,0.23,11
13C_T2_18M_MEFE,Control,1.4,44,0.14,48,18,0.88,6.5,36,1.4,0.69,4700,< DL,1500,0.1,0.16,99
13C_T3_8M_GASH,Control,1.1,49,0.18,< DL,11,0.52,3,20,1,0.19,250,< DL,760,0.14,0.2,14
13C_T3_24M_GASH,Control,1.1,49,0.17,< DL,11,0.47,3.6,18,1.2,0.16,500,< DL,730,0.13,0.19,12
13C_T3_24M_MEFE,Control,1.3,46,0.14,32,13,0.74,4.1,34,1,0.43,6500,< DL,1100,0.091,0.16,44
13C_T3_24M_VAPA,Control,1.9,49,0.21,120,19,1,6.8,35,1.1,0.17,1200,< DL,200,0.11,0.23,11
14_T1_7M_GASH,Habitation,1.1,50,0.2,< DL,14,0.4,3.2,19,1.2,0.19,200,< DL,530,0.17,0.25,16
14_T1_7M_VAPA,Habitation,1.4,47,0.17,58,32,1.1,4.8,38,0.85,0.38,850,< DL,560,0.11,0.2,19
14_T1_13M_GASH,Habitation,1.2,52,0.2,< DL,14,0.5,2.9,19,1,0.23,68,< DL,680,0.16,0.26,17
14_T1_13M_MEFE,Habitation,1.1,45,0.097,< DL,19,0.67,3.9,26,0.48,0.58,990,< DL,3400,0.11,0.12,44
14_T1_13M_VAPA,Habitation,1.7,48,0.21,< DL,23,0.94,5.6,33,0.84,0.39,290,< DL,160,0.13,0.24,13
14_T2_6M_GASH,Habitation,1.4,50,0.23,< DL,17,0.59,3.2,17,0.98,0.16,68,< DL,1100,0.22,0.27,20
14_T2_6M_MEFE,Habitation,1.4,44,0.11,< DL,24,1,4.7,28,0.96,0.74,2000,< DL,7200,0.19,0.13,57
14_T2_6M_VAPA,Habitation,2.1,48,0.18,36,24,1.1,7.8,46,0.84,0.32,220,< DL,400,0.15,0.22,17
14_T2_11M_MEFE,Habitation,1.4,43,0.12,< DL,24,1.2,4.7,34,1,1.1,1700,< DL,9400,0.17,0.13,32
14_T3_5M_VAPA,Habitation,1.9,47,0.29,< DL,28,1.4,6.6,36,1.2,0.41,300,< DL,730,0.16,0.32,24
14_T3_13M_GASH,Habitation,1.6,50,0.22,< DL,17,0.52,5.5,20,1.1,0.17,160,< DL,770,0.25,0.27,21
14_T3_13M_MEFE,Habitation,1.3,44,0.13,< DL,23,0.98,6.2,35,0.69,0.79,2400,< DL,6900,0.14,0.15,130
14C_T1_5M_GASH,Control,1.3,48,0.2,< DL,12,0.44,4.6,27,1.3,0.24,540,< DL,1200,0.18,0.25,23
14C_T1_5M_MEFE,Control,1.5,43,0.13,44,22,1,6.6,48,1.4,0.87,5700,< DL,2500,0.18,0.16,97
14C_T1_5M_VAPA,Control,2.4,47,0.24,120,44,1.2,11,63,1.4,0.3,2100,< DL,510,0.25,0.27,25
14C_T1_14M_MEFE,Control,1.4,44,0.14,43,19,0.97,6.4,40,1.4,0.74,3700,< DL,1400,0.14,0.16,53
14C_T2_8M_VAPA,Control,2.1,48,0.21,120,23,0.82,7.6,45,1.1,0.23,1200,< DL,220,0.12,0.2,16
14C_T2_15M_GASH,Control,1.6,49,0.25,< DL,13,0.51,5.5,31,1.5,0.2,420,< DL,840,0.21,0.29,24
14C_T2_15M_MEFE,Control,2,45,0.22,61,28,0.63,15,66,2.3,0.6,4200,< DL,1400,0.27,0.25,84
14C_T2_15M_VAPA,Control,2.4,48,0.32,120,17,1.1,13,67,1.3,0.32,660,< DL,150,0.15,0.34,16
14C_T3_5M_GASH,Control,1.6,48,0.25,92,11,0.49,7.3,39,1.6,0.23,470,< DL,760,0.2,0.29,20
14C_T3_5M_MEFE,Control,1.7,44,0.15,84,18,0.94,8,66,1.2,0.65,7200,< DL,1500,0.12,0.17,91
14C_T3_12M_GASH,Control,1.5,49,0.25,43,14,0.4,5.3,44,1.6,0.21,240,< DL,930,0.21,0.3,20
14C_T3_12M_VAPA,Control,2.2,48,0.31,150,25,1,12,52,1.6,0.28,340,< DL,360,0.14,0.35,13
15_T1_9M_GASH,Habitation,1.3,49,0.25,< DL,13,0.55,5.2,26,1.1,0.21,290,< DL,1600,0.18,0.29,26
15_T1_9M_MEFE,Habitation,3.7,88,0.3,< DL,28,1.1,8.2,46,1.7,0.35,900,< DL,1300,0.14,0.23,17
15_T1_9M_VAPA,Habitation,1.4,42,0.11,< DL,19,0.64,5.1,42,1.6,0.65,7700,< DL,3000,0.13,0.15,60
15_T1_15M_MEFE,Habitation,0.99,36,0.1,46,24,0.84,4.9,50,1.9,0.64,9400,< DL,1700,0.13,0.11,74
15_T2_6M_MEFE,Habitation,1.5,47,0.15,< DL,20,0.68,4.2,28,1.2,0.47,4800,< DL,4200,0.14,0.15,68
15_T2_6M_VAPA,Habitation,1.5,48,0.16,< DL,16,1,4.5,32,1,0.29,960,< DL,260,0.13,0.17,13
15_T2_14M_GASH,Habitation,1.1,49,0.18,< DL,15,0.8,2.9,17,0.73,0.24,490,< DL,250,0.15,0.21,11
